 time       , type    , category        , info                                              ,error desc, message                                                                                                                                                                                                                                                                                                             , consequences                , importance ,solution,note,status,last update,,,,
2025-02-05, error   ,database error  ,when trying to load OAI data from xml to database ,df data type not matched with sqlite3 data type,"Error writing to database: Error binding parameter 3 - probably unsupported type.
Error writing to database: Error binding parameter 3 - probably unsupported type.
Keys in the first paper: dict_keys(['paper', 'publishedAt', 'title', 'thumbnail', 'numComments', 'submittedBy', 'isAuthorParticipating'])",paper not load into database,high,Align table creation and table insertion data types,,,2025-02-10,,,,      
2025-02-10, error   ,database error  ,when trying to load OAI data from xml to database ,PK not unique in source data,"2025-02-10 14:31:26,310 - ERROR - Error writing to database: UNIQUE constraint failed: oai_paper_pool.identifier Error writing to database: UNIQUE constraint failed: oai_paper_pool.identifier",paper not load into database,high,,,,,,,,
2025-02-05, error   ,package error   ,when Tweepy get user tweets                       ,unable get some twitter user,ERROR] :: Error with TweeterPy().get_user_tweets('fly51fly') using proxy 13.37.73.214:80: 404 Client Error: Not Found for url:,unable to get certain user tweets,medium,      ,,,,,,,
2025-02-05, warning ,package warning , when set up Tweepy to scrape Twitter post         ,, [WARNING] :: Skipping API Updates. Couldn't get the latest API data.                                                                                                                                                                                                                                                ,,low,      ,,,,,,,
2025-02-06,error,code error,when present the matched papers information,paper matching error,"if pos < len(zot_papers):
TypeError: '<' not supported between instances of 'NoneType' and 'int'",could not show the paper matching logic,high,update code. Recheck the matching logic,,yes,,,,,
2025-02-06,warning,message warning,when present the matched papers information,guiding info insufficient,does not show the paper title in matching mesaage,could not show the paper matching logic,medium,add title information,title not matched with abstract,yes,,,,,
2025-02-06,error,api error,when get daily paper from huggingface,huggingface connection issue,Error fetching papers: connection reset by peers,could not get Huggingface daily paper,medium,"Apply firecrawl to get json data. 
Use server in the future.",Huggingface prevents proxy connection,yes,2025-02-10,,,,
2025-02-06,warning,package warning ,when initiate Tweepy,,[WARNING] :: [Errno 2] No such file or directory: '/tmp/tweeterpy_api.json',,medium,,,,,,,,
2025-02-10,enhancement,data source enhancement,add more daily papers sources,get more feeds for daily papers,,,,,,,,,,,
2025-02-10,enhancement,knowledge management,save matched papers information,"lower matching threshold, save all matched papers information for further analysis",,,,,,,,,,,
